Vendor,Tenant,Status,Role,Location,Site,Rack,Rack Position,Rack Units,Device Type,Manufacturer,face,airflow,NIC 1 Name,NIC 1 Type,NIC 1 MAC,NIC 1 IP,NIC 1 VRF,FQDN,BMC MAC,BMC IP,BMC VRF,Serial,NIC 2 MAC,password
,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo,,,,,,419,32,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv900.nubes.rl.ac.uk,,10.1.28.1,t1_management,,,
Lenovo,,,,,,419,31,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv901.nubes.rl.ac.uk,,10.1.28.2,t1_management,,,
Lenovo,,,,,,419,30,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv902.nubes.rl.ac.uk,,10.1.28.3,t1_management,,,
Lenovo,,,,,,419,29,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv903.nubes.rl.ac.uk,,10.1.28.4,t1_management,,,
Lenovo,,,,,,419,28,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv904.nubes.rl.ac.uk,,10.1.28.5,t1_management,,,
Lenovo,,,,,,419,27,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv905.nubes.rl.ac.uk,,10.1.28.6,t1_management,,,
Lenovo,,,,,,419,26,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv906.nubes.rl.ac.uk,,10.1.28.7,t1_management,,,
Lenovo,,,,,,419,25,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv907.nubes.rl.ac.uk,,10.1.28.8,t1_management,,,
Lenovo,,,,,,419,24,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv908.nubes.rl.ac.uk,,10.1.28.9,t1_management,,,
Lenovo,,,,,,419,23,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv909.nubes.rl.ac.uk,,10.1.28.10,t1_management,,,
Lenovo,,,,,,419,22,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv910.nubes.rl.ac.uk,,10.1.28.11,t1_management,,,
Lenovo,,,,,,419,21,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv911.nubes.rl.ac.uk,,10.1.28.12,t1_management,,,
Lenovo,,,,,,419,20,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv912.nubes.rl.ac.uk,,10.1.28.13,t1_management,,,
Lenovo,,,,,,419,19,1,hv-2022-lenovo,Lenovo,,,,,,,global,hv913.nubes.rl.ac.uk,,10.1.28.14,t1_management,,,
